source,url,category,reviewer,status,notes
National Consumer Helpline,https://consumerhelpline.gov.in/,consumer,,TODO,
e-Jagriti,https://e-jagriti.gov.in/,consumer,,TODO,
Cyber Crime Portal,https://cybercrime.gov.in/,cyber,,TODO,
RBI CMS,https://cms.rbi.org.in/,banking,,TODO,
NPCI UPI Complaint,https://www.npci.org.in/upi-complaint,upi,,TODO,
National Scholarship Portal,https://scholarships.gov.in/,scholarship,,TODO,
UIDAI,https://uidai.gov.in/,documents,,TODO,
DigiLocker,https://www.digilocker.gov.in/,documents,,TODO,
